TestDate;sites_Collection;pop;trait;dose_ppm;dose;Replique;mort;vivant;total;populations;Traitements
12/06/2019;Koira_tagui;culexp;ctl_bact;1000ppm;1000;1;0;25;25;Culex_pipens;Temoin
12/06/2019;Koira_tagui;culexp;ctl_bact;100ppm;100;1;0;25;25;Culex_pipens;Temoin
12/06/2019;Koira_tagui;culexp;ctl_bact;10ppm;10;1;3;22;25;Culex_pipens;Temoin
12/06/2019;Koira_tagui;culexp;ctl_bact;5ppm;5;1;3;22;25;Culex_pipens;Temoin
12/06/2019;Koira_tagui;culexp;ctl_bact;1ppm;1;1;0;25;25;Culex_pipens;Temoin
12/06/2019;Koira_tagui;culexp;ctl_bact;0.5ppm;0.5;1;0;25;25;Culex_pipens;Temoin
15/06/2019;Koira_tagui;An_g;ctl_bact;1000ppm;1000;1;0;25;25;An_gambiae;Temoin
15/06/2019;Koira_tagui;An_g;ctl_bact;100ppm;100;1;0;25;25;An_gambiae;Temoin
15/06/2019;Koira_tagui;An_g;ctl_bact;10ppm;10;1;0;27;27;An_gambiae;Temoin
15/06/2019;Koira_tagui;An_g;ctl_bact;5ppm;5;1;0;26;26;An_gambiae;Temoin
15/06/2019;Koira_tagui;An_g;ctl_bact;1ppm;1;1;4;21;25;An_gambiae;Temoin
15/06/2019;Koira_tagui;An_g;ctl_bact;0.5ppm;0.5;1;2;23;25;An_gambiae;Temoin
12/06/2019;Koira_tagui;culexp;bact;1000ppm;1000;1;25;0;25;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;100ppm;100;1;25;0;25;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;10ppm;10;1;22;4;26;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;5ppm;5;1;17;8;25;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;1ppm;1;1;11;14;25;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;0.5ppm;0.5;1;1;24;25;Culex_pipens;Bactivec
15/06/2019;Koira_tagui;An_g;bact;1000ppm;1000;1;25;0;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;100ppm;100;1;25;0;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;10ppm;10;1;25;0;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;5ppm;5;1;26;0;26;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;1ppm;1;1;17;8;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;0.5ppm;0.5;1;8;17;25;An_gambiae;Bactivec
12/06/2019;Koira_tagui;culexp;bact;1000ppm;1000;2;25;0;25;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;100ppm;100;2;25;0;25;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;10ppm;10;2;23;2;25;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;5ppm;5;2;19;7;26;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;1ppm;1;2;9;16;25;Culex_pipens;Bactivec
12/06/2019;Koira_tagui;culexp;bact;0.5ppm;0.5;2;2;23;25;Culex_pipens;Bactivec
15/06/2019;Koira_tagui;An_g;bact;1000ppm;1000;2;26;0;26;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;100ppm;100;2;25;0;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;10ppm;10;2;25;0;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;5ppm;5;2;24;1;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;1ppm;1;2;21;4;25;An_gambiae;Bactivec
15/06/2019;Koira_tagui;An_g;bact;0.5ppm;0.5;2;13;12;25;An_gambiae;Bactivec
